Sample,DE_AE,SHADE_AE,CMA-ES_AE,NRBO_AE,BOA_AE,HHO-Lite_AE,Ensemble_AE
309,9.9819,3.3825,1.8171,6.3801,0.8830,2.2132,0.4322
310,0.1913,1.6048,4.2487,2.8148,1.5163,1.5835,1.9869
311,4.4290,5.0707,2.6435,7.0314,5.9203,4.8463,4.9838
312,8.9501,3.3483,1.4275,0.1050,0.2341,0.2950,1.7790
313,3.5191,0.9111,4.1781,1.8643,10.4855,9.4835,3.8533
314,4.1584,2.8581,0.9309,4.3435,0.7221,0.2666,0.7212
315,7.5898,5.6767,8.5064,6.1045,5.4016,3.8940,6.2092
316,4.0554,0.8071,2.6347,4.8422,1.0862,4.8227,2.6794
317,2.5493,8.4376,7.5864,20.2476,4.1018,10.9433,8.0613
318,3.5431,2.2738,1.8976,4.4095,1.4079,1.4224,0.8060
319,5.2757,0.8805,2.7804,6.2900,3.6408,6.6274,3.9515
320,0.0685,12.2910,10.6177,0.4064,13.7966,9.2803,7.6898
321,2.2784,2.4204,4.2655,1.9663,3.6951,6.4653,2.7257
322,3.1467,1.9113,6.3367,5.1064,1.1350,8.0892,0.7045
323,0.1203,6.6281,2.5343,4.4720,0.8470,7.5397,3.6649
324,4.6809,6.7615,2.5505,10.9847,8.3016,8.1946,6.8912
325,9.0184,13.8174,12.0072,7.9392,12.4808,10.6196,10.9762
326,2.2928,4.6103,4.9949,2.9150,2.0492,0.1775,0.3925
327,2.1731,0.9284,0.5080,4.5640,4.2985,5.9976,3.0632
328,59.0021,48.0504,44.0560,56.1622,49.6546,48.8554,50.9944
329,25.7898,11.4121,10.5663,8.2798,15.9211,13.7049,14.3351
330,6.7256,0.5306,5.3500,3.0732,1.1084,3.9148,0.9905
331,3.3129,3.2834,1.3187,7.3352,3.5698,2.8960,3.1733
332,0.9083,5.2849,1.3011,3.5080,1.0628,0.1029,1.5575
333,3.5047,0.6503,0.8001,13.5746,0.4366,3.0801,2.3852
334,2.4283,1.5640,3.0026,1.3048,0.0537,3.0683,0.5543
335,17.3088,21.0559,24.5096,25.9942,20.9631,20.6218,21.7225
336,24.2129,19.8724,22.9491,25.2048,19.8709,17.3143,21.5902
337,1.1351,3.4106,7.0821,4.0512,8.4721,8.4264,5.4043
338,3.5491,8.3359,4.5519,11.3559,12.9850,3.5340,7.3687
339,4.3892,0.1259,3.7551,4.5225,6.3129,1.7673,3.4425
340,2.5731,1.3505,0.8111,4.2790,1.2236,0.3865,1.5032
341,4.9604,1.6905,0.4711,0.9044,1.5636,0.7265,1.5790
342,5.2753,4.0747,0.6380,3.9896,4.2302,3.6793,2.3332
343,2.1104,7.0765,0.8496,9.4922,9.3852,3.2012,4.6125
344,12.3728,24.8490,25.2708,10.1765,22.2534,23.1400,19.6498
345,4.4040,17.4591,18.4765,2.1961,12.4786,18.6037,12.2350
346,5.8018,14.5311,10.7871,15.3093,13.0492,12.4674,11.9574
347,15.7420,27.0794,17.0134,25.8598,19.0753,15.4616,20.0229
348,9.2904,17.1294,16.6629,15.5829,19.3388,14.1267,15.3300
349,2.1798,1.3705,0.7911,0.5785,1.2436,0.4065,0.8374
350,5.0509,1.7805,0.3811,0.9836,1.6536,0.8165,1.6673
351,22.5521,16.8824,22.8437,25.8615,19.1407,19.1216,21.0746
352,5.7909,10.0088,5.5013,5.3095,8.9431,9.9526,7.5715
353,5.6211,11.4238,13.5422,13.6951,13.7073,9.9617,11.3007
354,3.7712,10.0311,6.5865,10.7836,16.4938,12.1439,9.9294
355,11.4968,7.4115,11.0709,9.2501,6.3438,9.3692,9.1692
356,18.4980,33.6771,40.9052,44.6046,35.2957,38.8866,35.2206
357,11.8769,4.0400,11.7386,6.3985,3.4521,12.6612,8.3728
358,5.8193,6.8394,13.4663,8.7766,12.1119,11.3696,6.8091
359,7.5207,4.4205,2.2589,4.0514,4.2936,3.4565,4.3489
360,10.7951,13.1706,8.5397,14.5274,6.3907,11.5135,10.8175
361,4.3093,9.3622,5.2422,6.6574,11.1732,8.5325,7.5273
362,5.5334,11.2059,10.8551,16.7950,19.5846,17.8142,13.5769
363,4.9417,5.9802,0.7369,4.4139,5.0217,3.2118,2.1185
364,4.3447,8.9253,1.8005,3.4933,6.2546,2.5128,1.9178
365,3.3925,5.6189,5.3368,5.9156,6.7581,9.1834,6.0142
366,1.9752,6.3060,5.1791,4.1115,6.0748,5.1050,4.7792
367,1.6872,1.6405,0.5211,0.8373,1.5136,0.6765,0.9752
368,4.0301,2.3505,0.1889,1.5440,2.2236,1.3865,1.9638
369,20.4883,16.0920,16.3585,18.0858,18.1688,16.0902,17.5621
370,5.1493,3.4276,4.5115,5.2000,2.4481,3.7868,4.0924
