Sample,DE_AE,SHADE_AE,CMA-ES_AE,NRBO_AE,BOA_AE,HHO-Lite_AE,Ensemble_AE
308,0.0027,0.0028,0.0983,0.0667,0.0450,0.0396,0.0126
309,0.0007,0.0015,0.0283,0.5123,0.0077,0.0078,0.0781
310,0.0041,0.0012,0.0638,0.2011,0.1263,0.0088,0.0669
311,0.0007,0.0071,0.0856,0.0181,0.0143,0.0091,0.0195
312,0.0122,0.0027,0.0039,0.1690,0.0377,0.0013,0.0372
313,0.0033,0.0050,0.0709,0.1917,0.0442,0.0686,0.0143
314,0.0086,0.0012,0.0207,0.2537,0.1323,0.0531,0.0780
315,0.0022,0.0046,0.1033,0.1129,0.0802,0.0265,0.0549
316,0.0050,0.0115,0.0274,0.3343,0.0800,0.0623,0.0865
317,0.0036,0.0062,0.0268,0.1852,0.1223,0.0330,0.0626
318,0.0180,0.0016,0.1674,0.3018,0.0876,0.0696,0.0074
319,0.0029,0.0026,0.0589,0.7671,0.1693,0.0330,0.1717
320,0.0005,0.0025,0.0771,0.4347,0.0238,0.0108,0.0609
321,0.0046,0.0038,0.0460,0.1452,0.0097,0.0229,0.0387
322,0.0033,0.0080,0.1257,0.0174,0.0465,0.1152,0.0375
323,0.0075,0.0039,0.1154,0.0559,0.0366,0.0014,0.0351
324,0.0027,0.0030,0.0383,0.2436,0.0270,0.0137,0.0546
325,0.0064,0.0013,0.0627,0.3106,0.0150,0.0011,0.0635
326,0.0057,0.0019,0.0228,0.1904,0.0204,0.0152,0.0206
327,0.0027,0.0038,0.0204,0.2477,0.0039,0.0169,0.0478
328,0.0053,0.0036,0.0417,0.0499,0.0470,0.0719,0.0211
329,0.0042,0.0004,0.1393,0.0930,0.1804,0.0063,0.0682
330,0.0025,0.0049,0.1677,0.4083,0.0244,0.0220,0.0952
331,0.0004,0.0005,0.0250,0.1071,0.0147,0.0250,0.0120
332,0.0033,0.0006,0.0756,0.3173,0.1890,0.0464,0.0628
333,0.0112,0.0024,0.0366,0.3166,0.0969,0.0439,0.0696
334,0.0058,0.0053,0.0056,0.5026,0.1252,0.0138,0.1092
335,0.0013,0.0009,0.0380,0.1043,0.0023,0.0098,0.0126
336,0.0140,0.0081,0.1778,0.1200,0.0377,0.0517,0.0160
337,0.0030,0.0015,0.1406,0.5833,0.0715,0.0233,0.1364
338,0.0013,0.0004,0.1007,0.3361,0.0108,0.0054,0.0733
339,0.0019,0.0014,0.1936,0.0812,0.0431,0.0022,0.0540
340,0.0051,0.0008,0.0201,0.5028,0.1824,0.0150,0.1087
341,0.0078,0.0019,0.0777,0.8631,0.0289,0.0244,0.1668
342,0.0026,0.0024,0.0681,0.0223,0.0658,0.0244,0.0007
343,0.0040,0.0047,0.1798,0.1272,0.1839,0.0048,0.0839
344,0.0148,0.0054,0.1222,0.4683,0.0973,0.0237,0.1217
345,0.0055,0.0008,0.0405,0.4681,0.0377,0.0209,0.0865
346,0.0024,0.0028,0.0267,0.3441,0.1481,0.0021,0.0873
347,0.0177,0.0063,0.0720,0.2567,0.0826,0.0378,0.0660
348,0.0023,0.0034,0.1323,0.3712,0.0671,0.0120,0.0979
349,0.0102,0.0032,0.2696,0.2633,0.0224,0.0752,0.1075
350,0.0039,0.0002,0.0236,0.1505,0.0117,0.0292,0.0326
351,0.0021,0.0018,0.0360,0.3530,0.0185,0.0056,0.0619
352,0.0081,0.0037,0.1200,0.4510,0.1235,0.0273,0.1220
353,0.0012,0.0013,0.0499,0.0304,0.0569,0.0254,0.0271
354,0.0007,0.0029,0.1933,0.2297,0.0572,0.0078,0.0791
355,0.0039,0.0010,0.0185,0.1131,0.0956,0.0031,0.0301
356,0.0004,0.0004,0.0813,0.3324,0.0357,0.0087,0.0460
357,0.0000,0.0005,0.0028,0.1072,0.0378,0.0070,0.0131
358,0.0023,0.0027,0.0400,0.3491,0.0465,0.0002,0.0732
359,0.0160,0.0031,0.0482,0.6643,0.1854,0.0125,0.1543
360,0.0012,0.0016,0.1053,0.0461,0.0076,0.0091,0.0068
361,0.0017,0.0010,0.0219,0.5199,0.0193,0.0169,0.0828
362,0.0075,0.0012,0.0168,0.4614,0.0441,0.0032,0.0681
363,0.0054,0.0050,0.1271,0.2051,0.0259,0.0298,0.0578
364,0.0107,0.0084,0.0517,0.0072,0.0313,0.0358,0.0218
365,0.0020,0.0025,0.0617,0.0616,0.0324,0.0150,0.0292
366,0.0116,0.0025,0.1320,0.1766,0.0127,0.0681,0.0398
367,0.0020,0.0059,0.0018,0.0752,0.0058,0.0005,0.0105
368,0.0003,0.0045,0.0822,0.0835,0.0098,0.0061,0.0263
369,0.0042,0.0015,0.0324,0.0718,0.0239,0.0098,0.0108
370,0.0006,0.0112,0.0053,0.3839,0.1543,0.0018,0.0391
