Sample,DE_AE,SHADE_AE,CMA-ES_AE,NRBO_AE,BOA_AE,HHO-Lite_AE,Ensemble_AE
149,0.8874,0.7517,0.8124,0.7517,1.0762,0.7517,0.8387
150,1.3340,1.2037,1.2654,1.2037,0.9984,1.2037,1.2014
151,1.2598,1.0866,1.1636,1.0866,0.8219,1.0866,1.0841
152,0.6543,0.5412,0.7206,0.5412,0.9346,0.5412,0.6558
153,0.3389,0.3213,0.2955,0.3213,0.3257,0.3213,0.3206
154,1.0977,1.1729,1.0931,1.1729,1.1623,1.1729,1.1452
155,0.5354,0.7245,0.4816,0.7245,0.5743,0.7245,0.6273
156,0.3466,0.0794,0.1833,0.0794,0.0953,0.0794,0.0647
157,0.0620,0.0158,0.0798,0.0158,0.0607,0.0158,0.0210
158,0.0405,0.2802,0.1572,0.2802,0.0685,0.2802,0.1183
159,0.3468,0.1415,0.3970,0.1415,0.4744,0.1415,0.1584
160,1.1358,1.4273,0.9583,1.4273,1.1502,1.4273,1.2541
161,0.4788,0.1462,0.4386,0.1462,0.1652,0.1462,0.2536
162,0.7063,0.8468,0.6673,0.8468,0.3875,0.8468,0.7166
163,0.1718,0.5950,0.2161,0.5950,0.3699,0.5950,0.4236
164,1.0145,1.0708,0.9966,1.0708,1.0469,1.0708,1.0450
165,0.5854,1.3079,0.4889,1.3079,1.2553,1.3079,1.0419
166,0.9960,1.4592,1.0898,1.4592,0.8242,1.4592,1.2142
167,0.5908,0.3823,0.5746,0.3823,0.6296,0.3823,0.4905
168,1.0484,1.2374,1.0533,1.2374,0.8884,1.2374,1.1168
169,0.3811,0.3323,0.4531,0.3323,0.3243,0.3323,0.3593
170,0.1916,0.1167,0.3060,0.1167,0.0064,0.1167,0.0258
171,0.9306,0.7357,0.9011,0.7357,0.7550,0.7357,0.7990
172,0.0627,0.2225,0.1586,0.2225,0.1678,0.2225,0.0461
173,0.5735,0.4008,0.4016,0.4008,0.2164,0.4008,0.3989
174,1.2446,1.3043,1.2213,1.3043,1.3078,1.3043,1.2811
175,1.2745,1.0851,1.2624,1.0851,1.0271,1.0851,1.1366
176,0.6476,0.3295,0.6243,0.3295,0.5726,0.3295,0.4724
177,0.1718,0.1835,0.1201,0.1835,0.0548,0.1835,0.0521
178,1.0786,1.0306,1.1189,1.0306,1.0771,1.0306,1.0611
179,0.1563,0.0820,0.0362,0.0820,0.1897,0.0820,0.0413
180,0.2509,0.3857,0.3529,0.3857,0.6343,0.3857,0.3993
181,0.3882,0.4619,0.4858,0.4619,0.5899,0.4619,0.4750
182,1.1850,1.3092,1.2654,1.3092,1.2612,1.3092,1.2732
183,0.1373,0.0834,0.3445,0.0834,0.6309,0.0834,0.2275
184,0.3085,0.1264,0.3984,0.1264,0.5864,0.1264,0.2791
185,0.6366,0.6661,0.5765,0.6661,0.6384,0.6661,0.6416
186,1.1384,1.3984,1.1228,1.3984,1.3202,1.3984,1.2960
187,0.1962,0.3338,0.3760,0.3338,0.4324,0.3338,0.0011
188,0.2891,0.1310,0.1132,0.1310,0.0548,0.1310,0.0109
189,0.2712,0.2492,0.0921,0.2492,0.0572,0.2492,0.1945
190,0.3503,0.2202,0.0507,0.2202,0.2479,0.2202,0.0016
