Actual,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite,WeightedAvg_Pred,IsDifficult
72.9824,72.4432,72.8230,73.1355,72.8230,72.9560,72.8230,72.8341,False
77.3685,78.1998,78.1717,78.1272,78.1717,77.8762,78.1717,78.1196,False
78.2220,78.7863,78.5510,78.6554,78.5510,78.5751,78.5510,78.6117,False
70.5926,70.1246,69.4560,70.6297,69.4560,70.4992,69.4560,69.9378,False
72.5303,71.9917,72.5496,72.6613,72.5496,72.3354,72.5496,72.4394,False
74.6589,74.5462,74.7494,74.7280,74.7494,74.7220,74.7494,74.7074,False
75.3181,75.2381,75.3964,75.4543,75.3964,75.3988,75.3964,75.3801,False
76.9918,77.3202,77.1390,77.2353,77.1390,77.1109,77.1390,77.1806,False
76.0735,75.7648,76.0564,76.0218,76.0564,75.8859,76.0564,75.9735,False
68.2216,68.8094,68.5557,67.8542,68.5557,68.5679,68.5557,68.4830,False
71.9360,71.3803,72.0351,72.0038,72.0351,71.9972,72.0351,71.9144,False
73.8908,73.3642,74.1215,73.7595,74.1215,73.8347,74.1215,73.8869,False
74.6504,74.1855,74.3929,74.5392,74.3929,74.6028,74.3929,74.4178,False
76.1838,76.2360,76.2153,76.2531,76.2153,76.1593,76.2153,76.2157,False
68.9540,69.0860,69.2405,68.7853,69.2405,69.3535,69.2405,69.1576,False
76.9058,77.4989,77.1016,77.2072,77.1016,77.1000,77.1016,77.1852,False
72.5455,72.2804,72.0930,72.0188,72.0930,72.0518,72.0930,72.1050,False
75.0204,75.2357,74.6369,74.9934,74.6369,74.9678,74.6369,74.8516,False
73.2643,73.4084,72.7105,73.1377,72.7105,73.6186,72.7105,73.0499,False
73.0291,72.6816,73.0769,72.8116,73.0769,73.0141,73.0769,72.9562,False
75.1424,75.4257,75.7403,74.9571,75.7403,75.0073,75.7403,75.4346,False
75.1424,74.9007,74.9637,75.0523,74.9637,75.0437,74.9637,74.9813,False
77.4231,77.4637,78.0678,77.6979,78.0678,77.8939,78.0678,77.8763,False
77.6784,78.2631,78.0322,77.9019,78.0322,77.9040,78.0322,78.0275,False
73.3038,73.1705,73.3680,72.9349,73.3680,73.6777,73.3680,73.3146,False
73.5973,73.1414,73.6472,73.7708,73.6472,73.6051,73.6472,73.5765,False
74.4892,74.6487,74.2258,74.1118,74.2258,74.3248,74.2258,74.2938,False
74.5399,74.2862,74.3361,74.5421,74.3361,74.6025,74.3361,74.4067,False
76.8819,77.5533,77.7681,77.3827,77.7681,76.1511,77.7681,77.3977,False
76.0369,76.3161,75.8352,76.1700,75.8352,76.2653,75.8352,76.0432,False
75.8122,76.2281,76.4624,76.1150,76.4624,75.3545,76.4624,76.1801,False
75.2239,75.4819,74.9745,75.3237,74.9745,75.3246,74.9745,75.1759,False
75.6733,75.8744,76.4088,75.4965,76.4088,75.4261,76.4088,76.0032,False
75.1914,75.0155,75.2211,75.1703,75.2211,75.1024,75.2211,75.1585,False
75.9001,75.4811,76.2965,76.1304,76.2965,76.3493,76.2965,76.1417,False
75.8457,76.1492,76.2479,76.1572,76.2479,76.0174,76.2479,76.1778,False
72.8833,72.6981,72.8458,72.5264,72.8458,73.5654,72.8458,72.8882,False
73.2579,72.9069,73.3185,73.2269,73.3185,72.9686,73.3185,73.1761,False
73.0993,73.2260,72.6097,72.7134,72.6097,73.5659,72.6097,72.8896,False
72.5909,72.0229,73.0463,72.4065,73.0463,72.3458,73.0463,72.6518,False
72.9801,73.1652,71.9779,72.6420,71.9779,73.3970,71.9779,72.5239,False
72.8625,72.4708,72.9857,72.4676,72.9857,72.6949,72.9857,72.7648,False
73.9752,74.3444,73.7417,73.6048,73.7417,73.9523,73.7417,73.8546,False
74.0493,73.6880,74.3184,73.8665,74.3184,73.9664,74.3184,74.0791,False
72.6137,72.7304,72.3049,72.2445,72.3049,73.0887,72.3049,72.4968,False
72.3199,71.9106,73.4274,72.0968,73.4274,72.1922,73.4274,72.7459,False
71.2712,70.9953,71.6978,70.7620,71.6978,71.7778,71.6978,71.4379,False
71.2362,70.8125,70.8343,70.8382,70.8343,70.9235,70.8343,70.8462,False
71.3907,71.4518,71.0682,70.4580,71.0682,70.9822,71.0682,71.0159,False
71.4472,70.8226,70.5107,71.9498,70.5107,71.7304,70.5107,71.0068,False
68.5404,68.9229,68.5491,68.2174,68.5491,68.2036,68.5491,68.4983,False
73.8337,73.9491,74.0951,73.3733,74.0951,73.9610,74.0951,73.9278,False
75.4331,75.8654,75.3152,75.3446,75.3152,75.7546,75.3152,75.4853,False
75.3888,75.3975,75.6085,75.3065,75.6085,75.4498,75.6085,75.4964,False
74.5823,74.3078,74.7285,74.4344,74.7285,74.4234,74.7285,74.5583,False
70.6801,70.3622,70.8936,70.1572,70.8936,70.3843,70.8936,70.5970,False
73.9399,73.6725,74.1063,73.6275,74.1063,73.9129,74.1063,73.9217,False
75.1336,75.3290,75.5841,75.1993,75.5841,75.3658,75.5841,75.4408,False
76.8581,77.5147,77.1118,77.3699,77.1118,77.1434,77.1118,77.2273,False
73.8663,73.3889,73.9449,73.7351,73.9449,73.6150,73.9449,73.7620,False
71.8125,71.2937,71.4738,71.5984,71.4738,71.5885,71.4738,71.4837,False
75.1511,74.9550,75.4768,74.9958,75.4768,74.9623,75.4768,75.2235,False
76.0919,76.8389,76.3309,76.5996,76.3309,76.4808,76.3309,76.4855,False
75.7463,75.9336,75.9473,75.8485,75.9473,75.8073,75.9473,75.9051,False
