Alkalinity,Ammonia,BOD,Chloride,Conductivity,DO,Phosphate,pH,Temp,Hardness,Colour,CCME_Values
18.000000,0.004000,0.700000,18.600000,356.000000,55.140000,0.002000,6.910000,10.200000,21.000000,7.500000,81.930280
14.000000,0.008000,1.600000,18.600000,356.000000,55.360000,0.011000,6.580000,8.000000,16.000000,45.000000,77.230560
15.000000,0.008000,1.300000,18.600000,356.000000,56.200000,0.003000,6.680000,6.000000,20.000000,20.000000,81.675599
16.000000,0.010000,1.400000,18.600000,356.000000,53.700000,0.004000,6.670000,4.800000,21.000000,10.000000,82.281057
19.000000,0.017000,0.700000,18.600000,356.000000,54.815000,0.003000,6.890000,9.200000,21.000000,10.000000,82.008963
17.000000,0.013000,0.400000,18.600000,356.000000,55.115000,0.003000,7.140000,12.600000,21.000000,30.000000,78.472970
22.000000,0.004000,1.200000,18.600000,356.000000,53.450000,0.008000,7.050000,11.400000,18.000000,40.000000,78.000642
20.000000,0.009000,0.800000,18.600000,356.000000,55.965000,0.006000,6.830000,10.900000,20.000000,30.000000,78.299955
18.000000,0.006000,0.700000,18.600000,356.000000,56.310000,0.003000,6.760000,9.000000,21.000000,15.000000,81.649340
19.000000,0.006000,0.600000,18.600000,356.000000,55.855000,0.008000,6.710000,7.900000,20.000000,25.000000,78.731697
14.000000,0.007000,0.600000,18.600000,356.000000,53.345000,0.003000,6.270000,8.500000,14.000000,20.000000,82.368391
16.000000,0.019000,0.300000,18.600000,356.000000,54.100000,0.005000,6.450000,13.600000,21.000000,25.000000,79.096528
15.000000,0.010000,0.600000,18.600000,356.000000,55.650000,0.006000,6.170000,10.500000,22.000000,15.000000,81.807374
19.000000,0.005000,0.500000,18.600000,356.000000,54.600000,0.005000,6.520000,5.600000,23.000000,15.000000,82.061170
27.000000,0.014000,0.400000,18.600000,356.000000,53.610000,0.006000,6.490000,7.400000,25.000000,17.000000,82.303166
15.000000,0.016000,0.500000,18.600000,356.000000,56.355000,0.006000,7.250000,7.400000,20.000000,18.000000,81.638607
22.000000,0.017000,1.300000,18.600000,356.000000,54.000000,0.003000,6.180000,11.800000,23.000000,47.000000,77.339253
13.000000,0.004000,0.580000,18.600000,356.000000,55.180000,0.003000,6.130000,9.200000,19.000000,19.000000,81.920615
15.000000,0.006000,0.380000,18.600000,356.000000,56.150000,0.007000,6.090000,7.300000,22.000000,8.000000,81.687546
14.000000,0.024000,0.380000,18.600000,356.000000,54.505000,0.004000,6.230000,7.000000,26.000000,0.000000,82.084278
18.000000,0.008000,0.600000,18.600000,356.000000,51.830000,0.004000,6.220000,9.300000,24.000000,41.000000,78.246266
20.000000,0.005000,0.400000,18.600000,356.000000,51.500000,0.005000,6.180000,11.800000,21.000000,12.000000,82.827805
17.000000,0.014000,0.600000,18.600000,356.000000,54.395000,0.004000,6.040000,8.600000,20.000000,33.000000,78.375116
16.000000,0.004000,0.700000,18.600000,356.000000,55.275000,0.004000,6.340000,6.700000,20.000000,55.000000,76.485518
14.000000,0.008000,0.800000,18.600000,356.000000,56.145000,0.003000,6.360000,4.900000,18.000000,17.000000,81.688741
14.000000,0.004000,0.600000,18.600000,356.000000,55.420000,0.006000,6.260000,6.100000,16.000000,22.000000,79.071418
20.000000,0.009000,0.600000,18.600000,356.000000,55.385000,0.004000,6.160000,10.700000,19.000000,25.000000,78.828893
127.000000,0.033000,1.200000,10.400000,83.000000,54.800000,0.019000,6.500000,7.300000,21.000000,18.000000,82.012601
127.000000,0.033000,1.200000,10.300000,81.000000,54.600000,0.019000,6.400000,9.000000,21.000000,11.000000,82.061170
127.000000,0.033000,1.200000,10.200000,85.000000,56.750000,0.019000,6.800000,9.900000,24.000000,20.000000,81.544621
127.000000,0.033000,1.200000,10.400000,79.000000,55.450000,0.019000,6.700000,11.700000,21.000000,16.000000,81.855490
127.000000,0.033000,1.200000,10.200000,68.000000,54.150000,0.019000,6.400000,13.200000,21.000000,81.000000,74.821562
127.000000,0.033000,1.200000,10.900000,82.000000,54.950000,0.019000,7.000000,6.900000,22.000000,11.000000,81.976245
127.000000,0.033000,1.200000,10.800000,82.000000,60.800000,0.019000,6.800000,8.800000,22.000000,13.000000,80.604176
127.000000,0.033000,1.200000,10.500000,86.000000,57.300000,0.040000,7.100000,10.100000,21.000000,11.000000,81.414433
127.000000,0.024000,1.200000,10.000000,82.000000,55.300000,0.019000,7.100000,12.500000,22.000000,18.000000,81.891646
127.000000,0.033000,1.200000,9.330000,73.000000,55.750000,0.019000,7.000000,13.300000,19.000000,42.000000,77.387950
127.000000,0.033000,1.200000,11.500000,77.000000,57.550000,0.019000,7.000000,4.800000,20.000000,36.000000,77.505255
127.000000,0.033000,1.200000,11.000000,94.000000,58.600000,0.019000,7.000000,5.100000,24.000000,10.000000,81.109834
127.000000,0.033000,1.200000,10.400000,81.000000,57.400000,0.019000,6.900000,9.300000,23.000000,19.000000,81.390848
127.000000,0.033000,1.200000,11.200000,152.000000,60.600000,0.019000,7.200000,14.700000,27.000000,7.000000,80.649642
127.000000,0.033000,1.200000,11.500000,93.000000,58.300000,0.003000,6.900000,7.300000,21.000000,26.000000,78.151340
127.000000,0.033000,1.200000,10.400000,87.000000,57.350000,0.019000,6.900000,6.000000,23.000000,16.000000,81.402637
127.000000,0.033000,1.200000,10.600000,86.000000,57.400000,0.019000,7.000000,5.500000,25.000000,27.000000,78.252338
127.000000,0.033000,1.200000,9.660000,82.000000,59.800000,0.019000,6.900000,7.900000,22.000000,15.000000,80.832506
127.000000,0.033000,1.500000,10.200000,89.000000,59.900000,0.019000,7.000000,11.500000,22.000000,13.000000,80.809560
127.000000,0.033000,1.200000,10.400000,84.000000,56.850000,0.019000,6.900000,9.200000,24.000000,31.000000,78.040734
127.000000,0.033000,1.200000,10.700000,85.000000,59.650000,0.019000,6.900000,5.400000,17.000000,13.000000,80.866972
127.000000,0.033000,1.200000,10.600000,92.000000,56.900000,0.019000,7.100000,9.000000,30.000000,14.000000,81.509037
127.000000,0.033000,1.200000,9.900000,83.000000,57.500000,0.019000,7.100000,8.500000,22.000000,20.000000,81.367288
127.000000,0.033000,1.200000,9.410000,76.000000,56.500000,0.019000,7.000000,7.700000,19.000000,23.000000,78.763710
127.000000,0.033000,1.200000,10.500000,84.000000,59.050000,0.019000,7.000000,6.000000,25.000000,16.000000,81.005407
127.000000,0.033000,1.200000,10.500000,85.000000,59.650000,0.019000,7.100000,5.600000,25.000000,12.000000,80.866972
127.000000,0.033000,1.200000,10.200000,86.000000,57.900000,0.019000,7.200000,9.800000,25.000000,23.000000,78.476034
127.000000,0.033000,1.200000,10.200000,80.000000,57.950000,0.019000,7.200000,9.400000,23.000000,11.000000,81.261589
127.000000,0.043000,1.200000,10.700000,80.000000,57.900000,0.019000,7.100000,9.200000,21.000000,9.000000,81.273307
127.000000,0.033000,1.200000,11.400000,84.000000,58.050000,0.019000,7.000000,8.800000,36.000000,40.000000,77.097368
127.000000,0.033000,1.200000,11.200000,84.000000,58.000000,0.019000,7.100000,9.100000,27.000000,21.000000,78.619457
127.000000,0.033000,1.200000,10.400000,86.000000,56.450000,0.019000,7.100000,12.400000,23.000000,9.000000,81.615965
127.000000,0.033000,1.200000,9.510000,73.000000,57.600000,0.019000,7.000000,11.700000,17.000000,9.000000,81.343754
127.000000,0.033000,1.200000,10.100000,78.000000,56.500000,0.019000,6.900000,8.100000,22.000000,16.000000,81.604058
127.000000,0.033000,1.200000,9.530000,73.000000,56.250000,0.019000,6.900000,9.700000,19.000000,20.000000,81.663659
10.000000,0.023000,1.200000,8.300000,356.000000,55.200000,0.004000,5.670000,8.200000,12.000000,90.000000,74.038578
15.000000,0.018000,1.400000,9.400000,356.000000,57.200000,0.009000,6.260000,5.600000,12.000000,90.000000,73.711847
20.000000,0.009000,1.200000,12.600000,356.000000,56.800000,0.006000,6.850000,9.300000,12.000000,45.000000,76.953511
15.000000,0.046000,0.990000,7.000000,356.000000,56.200000,0.016000,6.240000,13.100000,12.000000,120.000000,72.016509
15.000000,0.000000,0.600000,8.500000,356.000000,52.300000,0.005000,6.310000,15.000000,16.000000,80.000000,75.212470
15.000000,0.009000,0.900000,7.900000,356.000000,57.700000,0.009000,6.320000,11.200000,24.000000,280.000000,64.622598
15.500000,0.026000,1.900000,9.800000,356.000000,57.650000,0.012000,6.320000,6.200000,15.000000,90.000000,73.639146
9.000000,0.032000,1.000000,18.600000,356.000000,56.650000,0.016000,6.370000,6.900000,11.000000,120.000000,71.950646
8.000000,0.033000,1.600000,18.600000,356.000000,57.350000,0.006000,6.300000,5.900000,51.000000,80.000000,74.346130
11.000000,0.005000,1.400000,9.100000,356.000000,56.600000,0.003000,6.630000,6.100000,15.000000,65.000000,75.513164
13.000000,0.000000,0.700000,9.700000,356.000000,56.400000,0.002000,6.710000,12.300000,15.000000,50.000000,76.649792
11.000000,0.006000,1.000000,18.600000,356.000000,55.315000,0.007000,7.090000,13.900000,16.000000,45.000000,77.239275
10.000000,0.017000,1.700000,18.600000,356.000000,56.250000,0.005000,5.840000,12.700000,14.000000,100.000000,73.224840
9.000000,0.023000,1.000000,7.330000,356.000000,57.200000,0.011000,6.500000,14.300000,13.000000,120.000000,71.870503
9.000000,0.005000,1.100000,7.800000,356.000000,56.000000,0.008000,6.340000,15.500000,16.000000,175.000000,69.105075
